piste;nimi;x_gk25;y_gk25;suunta;aika;vuosi;ha;pa;ka;ra;la;mp;rv;autot
A03;MERIKANNONTIE;25495193;6673910;2;1600;2011;39;3;0;0;1;0;0;43
A03;MERIKANNONTIE;25495193;6673910;2;1615;2011;28;2;0;0;0;1;0;30
A03;MERIKANNONTIE;25495193;6673910;2;1630;2011;38;3;0;0;0;1;0;41
A03;MERIKANNONTIE;25495193;6673910;2;1645;2011;41;3;0;0;0;0;0;44
A03;MERIKANNONTIE;25495193;6673910;2;1700;2011;23;3;0;0;0;0;0;26
A03;MERIKANNONTIE;25495193;6673910;2;1715;2011;27;4;2;0;0;0;0;33
A03;MERIKANNONTIE;25495193;6673910;2;1730;2011;27;0;0;0;0;0;0;27
A03;MERIKANNONTIE;25495193;6673910;2;1745;2011;27;4;0;0;0;0;0;31
A03;MERIKANNONTIE;25495193;6673910;2;1800;2011;102;5;3;0;0;0;0;110
A03;MERIKANNONTIE;25495193;6673910;2;1900;2011;78;3;0;0;0;0;0;81
A03;MERIKANNONTIE;25495193;6673910;2;2000;2011;49;0;0;0;1;0;0;50
A03;MERIKANNONTIE;25495193;6673910;2;2100;2011;21;2;0;0;1;0;0;24
A03;MERIKANNONTIE;25495193;6673910;2;2200;2011;12;0;0;0;0;0;0;12
A03;MERIKANNONTIE;25495193;6673910;2;2300;2011;4;0;0;0;0;0;0;4
A04;MECHELININKATU;25495441;6673716;1;0;2011;41;4;0;0;5;0;0;50
A04;MECHELININKATU;25495441;6673716;1;100;2011;25;7;1;0;3;0;0;36
A04;MECHELININKATU;25495441;6673716;1;200;2011;30;2;1;0;0;0;0;33
A04;MECHELININKATU;25495441;6673716;1;300;2011;20;2;1;0;0;0;0;23
A04;MECHELININKATU;25495441;6673716;1;400;2011;38;4;3;0;0;0;0;45
A04;MECHELININKATU;25495441;6673716;1;500;2011;105;5;5;0;6;0;0;121
A04;MECHELININKATU;25495441;6673716;1;600;2011;73;3;2;0;1;0;0;79
A04;MECHELININKATU;25495441;6673716;1;615;2011;103;4;4;0;3;0;0;114
A04;MECHELININKATU;25495441;6673716;1;630;2011;130;4;6;0;4;1;0;144
